#FORMAT=WebAnno TSV 3.3


#Text=Ей всегда казалось , что она пишет очень мало .
1-1	0-2	Ей	
1-2	3-9	всегда	
1-3	10-18	казалось	
1-4	19-20	,	
1-5	21-24	что	
1-6	25-28	она	
1-7	29-34	пишет	
1-8	35-40	очень	
1-9	41-45	мало	
1-10	46-47	.	

#Text=С видом полного разочарования , ежась от холода и кутаясь в одеяло из шкур , он , казалось , чувствовал себя в своем костюме крайне неловко .
2-1	49-50	С	
2-2	51-56	видом	
2-3	57-64	полного	
2-4	65-78	разочарования	
2-5	79-80	,	
2-6	81-86	ежась	
2-7	87-89	от	
2-8	90-96	холода	
2-9	97-98	и	
2-10	99-106	кутаясь	
2-11	107-108	в	
2-12	109-115	одеяло	
2-13	116-118	из	
2-14	119-123	шкур	
2-15	124-125	,	
2-16	126-128	он	
2-17	129-130	,	
2-18	131-139	казалось	
2-19	140-141	,	
2-20	142-152	чувствовал	
2-21	153-157	себя	
2-22	158-159	в	
2-23	160-165	своем	
2-24	166-173	костюме	
2-25	174-180	крайне	
2-26	181-188	неловко	
2-27	189-190	.	

#Text=Вечер для меня прошел удивительно как приятно , так что , мне кажется , он останется навсегда в моей памяти , как один из самых лучших и хороших дней в моей жизни .
3-1	192-197	Вечер	
3-2	198-201	для	
3-3	202-206	меня	
3-4	207-213	прошел	
3-5	214-225	удивительно	
3-6	226-229	как	
3-7	230-237	приятно	
3-8	238-239	,	
3-9	240-243	так	
3-10	244-247	что	
3-11	248-249	,	
3-12	250-253	мне	
3-13	254-261	кажется	
3-14	262-263	,	
3-15	264-266	он	
3-16	267-276	останется	
3-17	277-285	навсегда	
3-18	286-287	в	
3-19	288-292	моей	
3-20	293-299	памяти	
3-21	300-301	,	
3-22	302-305	как	
3-23	306-310	один	
3-24	311-313	из	
3-25	314-319	самых	
3-26	320-326	лучших	
3-27	327-328	и	
3-28	329-336	хороших	
3-29	337-341	дней	
3-30	342-343	в	
3-31	344-348	моей	
3-32	349-354	жизни	
3-33	355-356	.	

#Text=Впервые за весь вечер Шелли сам , казалось , почувствовал себя неуютно .
4-1	358-365	Впервые	
4-2	366-368	за	
4-3	369-373	весь	
4-4	374-379	вечер	
4-5	380-385	Шелли	
4-6	386-389	сам	
4-7	390-391	,	
4-8	392-400	казалось	
4-9	401-402	,	
4-10	403-415	почувствовал	
4-11	416-420	себя	
4-12	421-428	неуютно	
4-13	429-430	.	

#Text=Мистер Кронин вытянул американскую лошадь по кличке Ирокез , а все остальные , кажется , остались довольны .
5-1	432-438	Мистер	
5-2	439-445	Кронин	
5-3	446-453	вытянул	
5-4	454-466	американскую	
5-5	467-473	лошадь	
5-6	474-476	по	
5-7	477-483	кличке	
5-8	484-490	Ирокез	
5-9	491-492	,	
5-10	493-494	а	
5-11	495-498	все	
5-12	499-508	остальные	
5-13	509-510	,	
5-14	511-518	кажется	
5-15	519-520	,	
5-16	521-529	остались	
5-17	530-538	довольны	
5-18	539-540	.	

#Text=Мужчина понизил голос : — Мне кажется , она никуда и не сбегала
6-1	542-549	Мужчина	
6-2	550-557	понизил	
6-3	558-563	голос	
6-4	564-565	:	
6-5	566-567	—	
6-6	568-571	Мне	
6-7	572-579	кажется	
6-8	580-581	,	
6-9	582-585	она	
6-10	586-592	никуда	
6-11	593-594	и	
6-12	595-597	не	
6-13	598-605	сбегала	

#Text=.
7-1	606-607	.	

#Text=— Ведь ты сама не раз говорила , что он влюблен в тебя до безумия и что иначе тебя не называет , как только королевой , и ты , кажется , гордилась этим , насколько я понимаю что-то в этих вещах .
8-1	609-610	—	
8-2	611-615	Ведь	
8-3	616-618	ты	
8-4	619-623	сама	
8-5	624-626	не	
8-6	627-630	раз	
8-7	631-639	говорила	
8-8	640-641	,	
8-9	642-645	что	
8-10	646-648	он	
8-11	649-656	влюблен	
8-12	657-658	в	
8-13	659-663	тебя	
8-14	664-666	до	
8-15	667-674	безумия	
8-16	675-676	и	
8-17	677-680	что	
8-18	681-686	иначе	
8-19	687-691	тебя	
8-20	692-694	не	
8-21	695-703	называет	
8-22	704-705	,	
8-23	706-709	как	
8-24	710-716	только	
8-25	717-726	королевой	
8-26	727-728	,	
8-27	729-730	и	
8-28	731-733	ты	
8-29	734-735	,	
8-30	736-743	кажется	
8-31	744-745	,	
8-32	746-755	гордилась	
8-33	756-760	этим	
8-34	761-762	,	
8-35	763-772	насколько	
8-36	773-774	я	
8-37	775-782	понимаю	
8-38	783-789	что-то	
8-39	790-791	в	
8-40	792-796	этих	
8-41	797-802	вещах	
8-42	803-804	.	

#Text=Вы , кажется , уже все перечитали , — сказал ему хозяин .
9-1	806-808	Вы	
9-2	809-810	,	
9-3	811-818	кажется	
9-4	819-820	,	
9-5	821-824	уже	
9-6	825-828	все	
9-7	829-839	перечитали	
9-8	840-841	,	
9-9	842-843	—	
9-10	844-850	сказал	
9-11	851-854	ему	
9-12	855-861	хозяин	
9-13	862-863	.	

#Text=Я , кажется , ясно тебе все объяснил .
10-1	865-866	Я	
10-2	867-868	,	
10-3	869-876	кажется	
10-4	877-878	,	
10-5	879-883	ясно	
10-6	884-888	тебе	
10-7	889-892	все	
10-8	893-901	объяснил	
10-9	902-903	.	

#Text=Так или иначе , сам по себе факт административного запрета на продажу изданных книг и конфискации документов в государственных архивах , мне кажется , не имеет прецедентов в нашей новейшей истории .
11-1	905-908	Так	
11-2	909-912	или	
11-3	913-918	иначе	
11-4	919-920	,	
11-5	921-924	сам	
11-6	925-927	по	
11-7	928-932	себе	
11-8	933-937	факт	
11-9	938-955	административного	
11-10	956-963	запрета	
11-11	964-966	на	
11-12	967-974	продажу	
11-13	975-983	изданных	
11-14	984-988	книг	
11-15	989-990	и	
11-16	991-1002	конфискации	
11-17	1003-1013	документов	
11-18	1014-1015	в	
11-19	1016-1031	государственных	
11-20	1032-1039	архивах	
11-21	1040-1041	,	
11-22	1042-1045	мне	
11-23	1046-1053	кажется	
11-24	1054-1055	,	
11-25	1056-1058	не	
11-26	1059-1064	имеет	
11-27	1065-1076	прецедентов	
11-28	1077-1078	в	
11-29	1079-1084	нашей	
11-30	1085-1093	новейшей	
11-31	1094-1101	истории	
11-32	1102-1103	.	

#Text=В пятницу министр труда и социальной защиты Максим Топилин сообщил , что повышение пенсионного возраста в России , возможно , произойдет в будущем , это не отрицается .
12-1	1105-1106	В	
12-2	1107-1114	пятницу	
12-3	1115-1122	министр	
12-4	1123-1128	труда	
12-5	1129-1130	и	
12-6	1131-1141	социальной	
12-7	1142-1148	защиты	
12-8	1149-1155	Максим	
12-9	1156-1163	Топилин	
12-10	1164-1171	сообщил	
12-11	1172-1173	,	
12-12	1174-1177	что	
12-13	1178-1187	повышение	
12-14	1188-1199	пенсионного	
12-15	1200-1208	возраста	
12-16	1209-1210	в	
12-17	1211-1217	России	
12-18	1218-1219	,	
12-19	1220-1228	возможно	
12-20	1229-1230	,	
12-21	1231-1241	произойдет	
12-22	1242-1243	в	
12-23	1244-1251	будущем	
12-24	1252-1253	,	
12-25	1254-1257	это	
12-26	1258-1260	не	
12-27	1261-1271	отрицается	
12-28	1272-1273	.	

#Text=И возможно , что решение многих сложных инженерно-технических задач им вскоре будет вполне по силам .
13-1	1275-1276	И	
13-2	1277-1285	возможно	
13-3	1286-1287	,	
13-4	1288-1291	что	
