#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.EStatus|Comment|Source|Value
#T_SP=webanno.custom.EStatus2|Comment|Source|SourceAttitude|Value
#T_SP=webanno.custom.ESubject|Id
#T_SP=webanno.custom.Proposition|Polarity|Proposition
#T_SP=webanno.custom.EContext|DefaultValue|ESubject|ROLE_webanno.custom.EContext:ToEStatus_webanno.custom.EContextToEStatusLink|webanno.custom.EStatus|ROLE_webanno.custom.EContext:ToEStatus2_webanno.custom.EContextToEStatus2Link|webanno.custom.EStatus2|ROLE_webanno.custom.EContext:ToEStatus3_webanno.custom.EContextToEStatus3Link|webanno.custom.EStatus3


#Text=Ей всегда казалось , что она пишет очень мало .
1-1	0-2	Ей	_	_	_	_	_	_	_	$она	_	_	_	_	_	_	_	_	_	_	
1-2	3-9	всегда	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-3	10-18	казалось	*	$автор	T\;-	_	_	_	_	_	*	\[ей казалось, что...\]	*	$она		1-7	_	*	_	*	
1-4	19-20	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-5	21-24	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-6	25-28	она	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-7	29-34	пишет	*	$она($автор)	UT\;-	_	_	_	_	_	*	\[она пишет мало\]	_	_	_	_	_	_	_	_	
1-8	35-40	очень	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-9	41-45	мало	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-10	46-47	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=С видом полного разочарования , ежась от холода и кутаясь в одеяло из шкур , он , казалось , чувствовал себя в своем костюме крайне неловко .
2-1	49-50	С	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-2	51-56	видом	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-3	57-64	полного	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-4	65-78	разочарования	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	79-80	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	81-86	ежась	*	$автор	T\;-	_	_	_	_	_	*	\[он ежился...\]	_	_	_	_	_	_	_	_	
2-7	87-89	от	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	90-96	холода	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	97-98	и	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	99-106	кутаясь	*	$автор	T\;-	_	_	_	_	_	*	\[он кутался в одеяло...\]	_	_	_	_	_	_	_	_	
2-11	107-108	в	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-12	109-115	одеяло	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	116-118	из	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-14	119-123	шкур	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-15	124-125	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-16	126-128	он	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-17	129-130	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-18	131-139	казалось	_	_	_	_	_	_	_	_	_	_	*	$автор		2-20	_	*	_	*	
2-19	140-141	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-20	142-152	чувствовал	*	$автор	UT\;-	_	_	_	_	_	*	\[он чувствовал себя... неловко\]	_	_	_	_	_	_	_	_	
2-21	153-157	себя	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-22	158-159	в	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-23	160-165	своем	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-24	166-173	костюме	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-25	174-180	крайне	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-26	181-188	неловко	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-27	189-190	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Вечер для меня прошел удивительно как приятно , так что , мне кажется , он останется навсегда в моей памяти , как один из самых лучших и хороших дней в моей жизни .
3-1	192-197	Вечер	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
