#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.EStatus|Comment|Source|Value
#T_SP=webanno.custom.EStatus2|Comment|Source|SourceAttitude|Value
#T_SP=webanno.custom.ESubject|Id
#T_SP=webanno.custom.Proposition|Polarity|Proposition
#T_SP=webanno.custom.EContext|DefaultValue|ESubject|ROLE_webanno.custom.EContext:ToEStatus_webanno.custom.EContextToEStatusLink|webanno.custom.EStatus|ROLE_webanno.custom.EContext:ToEStatus2_webanno.custom.EContextToEStatus2Link|webanno.custom.EStatus2|ROLE_webanno.custom.EContext:ToEStatus3_webanno.custom.EContextToEStatus3Link|webanno.custom.EStatus3


#Text=Заместитель посла Северной Кореи в ООН Ан Мен Хун заявил в четверг , что Пхеньян отвергает резолюцию , которая , по его словам , является « продуктом политического заговора и конфронтации » .
1-1	0-11	Заместитель	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-2	12-17	посла	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-3	18-26	Северной	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-4	27-32	Кореи	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-5	33-34	в	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-6	35-38	ООН	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-7	39-41	Ан	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-8	42-45	Мен	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-9	46-49	Хун	_	_	_	_	_	_	_	$зампосла[7]	_	_	_	_	_	_	_	_	_	_	
1-10	50-56	заявил	*	$автор	T\;-	_	_	_	_	_	*	\[зампосла заявил в четверг, что...\]	*	$зампосла	_	*	_	*	_	*	
1-11	57-58	в	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-12	59-66	четверг	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-13	67-68	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-14	69-72	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-15	73-80	Пхеньян	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-16	81-90	отвергает	*	$зампосла($автор)	T\;-	_	_	_	_	_	*	\[Пхеньян отвергает резолюцию\]	_	_	_	_	_	_	_	_	
1-17	91-100	резолюцию	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-18	101-102	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-19	103-110	которая	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-20	111-112	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-21	113-115	по	_	_	_	_	_	_	_	_	_	_	*[1]	$зампосла[1]	_[1]	*	_[1]	*	_[1]	*	
1-22	116-119	его	_	_	_	_	_	_	_	_	_	_	*[1]	$зампосла[1]	_[1]	*	_[1]	*	_[1]	*	
1-23	120-126	словам	_	_	_	_	_	_	_	_	_	_	*[1]	$зампосла[1]	_[1]	*	_[1]	*	_[1]	*	
1-24	127-128	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-25	129-137	является	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-26	138-139	«	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-27	140-149	продуктом	*	$зампосла($автор)	T\;-	_	_	_	_	_	*	\[резолюция является продуктом... заговора и конфронтации\]	_	_	_	_	_	_	_	_	
1-28	150-163	политического	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-29	164-172	заговора	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-30	173-174	и	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-31	175-187	конфронтации	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-32	188-189	»	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-33	190-191	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=Сын Трампа заявил , что Trump Organization не будет больше заключать сделки с недвижимостью за пределами США .
2-1	193-196	Сын	_	_	_	_	_	_	_	$сын[8]	_	_	_	_	_	_	_	_	_	_	
2-2	197-203	Трампа	_	_	_	_	_	_	_	$сын[8]	_	_	_	_	_	_	_	_	_	_	
2-3	204-210	заявил	*	$автор	T\;-	_	_	_	_	_	*	\[сын Трампа заявил, что...\]	*	$сын	_	*	_	*	_	*	
2-4	211-212	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-5	213-216	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-6	217-222	Trump	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-7	223-235	Organization	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-8	236-238	не	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-9	239-244	будет	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-10	245-251	больше	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-11	252-261	заключать	*	$сын($автор)	T\;Fut	_	_	_	_	_	neg	\[Trump Org не будет заключать сделки...\]	_	_	_	_	_	_	_	_	
2-12	262-268	сделки	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-13	269-270	с	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-14	271-284	недвижимостью	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-15	285-287	за	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-16	288-297	пределами	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-17	298-301	США	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
2-18	302-303	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=В том же интервью Порошенко заявил , что США никогда не признают воссоединение Крыма с Россией
3-1	305-306	В	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	307-310	том	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	311-313	же	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	314-322	интервью	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-5	323-332	Порошенко	_	_	_	_	_	_	_	$порошенко	_	_	_	_	_	_	_	_	_	_	
3-6	333-339	заявил	*	$автор	T\;-	_	_	_	_	_	*	\[Порошенко заявил, что...\]	*	$порошенко	_	*	_	*	_	*	
3-7	340-341	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-8	342-345	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-9	346-349	США	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-10	350-357	никогда	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-11	358-360	не	*[5]	$порошенко($автор)[5]	T\;Fut[5]	_	_	_	_	_	neg[18]	\[США не признают воссоединение...\][18]	_	_	_	_	_	_	_	_	
3-12	361-369	признают	*[5]	$порошенко($автор)[5]	T\;Fut[5]	_	_	_	_	_	neg[18]	\[США не признают воссоединение...\][18]	_	_	_	_	_	_	_	_	
3-13	370-383	воссоединение	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-14	384-389	Крыма	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-15	390-391	с	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-16	392-399	Россией	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=.
4-1	400-401	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=" След ведет прямиком в Россию и к российским военным " , - заявил Фредериксен , который считает , что по своим последствиям подобная кибератака " причиняет ущерб , сравнимый с ущербом от военного нападения " ( цитата по ТАСС ) .
5-1	403-404	"	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-2	405-409	След	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-3	410-415	ведет	*	$фред($тасс($автор))	T\;-	_	_	_	_	_	*	\[след ведет в Россию...\]	_	_	_	_	_	_	_	_	
5-4	416-424	прямиком	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-5	425-426	в	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-6	427-433	Россию	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-7	434-435	и	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-8	436-437	к	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-9	438-448	российским	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-10	449-456	военным	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-11	457-458	"	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-12	459-460	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-13	461-462	-	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-14	463-469	заявил	*	$тасс($автор)	T\;-	_	_	_	_	_	*	\[заявил Фредериксен\]	*	$фред	_	*	_	*	_	*	
5-15	470-481	Фредериксен	_	_	_	_	_	_	_	$фред	_	_	_	_	_	_	_	_	_	_	
5-16	482-483	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-17	484-491	который	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-18	492-499	считает	*	$тасс($автор)	T\;-	_	_	_	_	_	*	\[Фредериксен считает, что...\]	*	$фред		5-27	_	*	_	*	
5-19	500-501	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-20	502-505	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-21	506-508	по	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-22	509-514	своим	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-23	515-527	последствиям	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-24	528-536	подобная	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-25	537-547	кибератака	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-26	548-549	"	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-27	550-559	причиняет	*	$фред($тасс($автор))	CT\;-	_	_	_	_	_	*	\[подобная кибератака причиняет ущерб...\]	_	_	_	_	_	_	_	_	
5-28	560-565	ущерб	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-29	566-567	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-30	568-577	сравнимый	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-31	578-579	с	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-32	580-587	ущербом	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-33	588-590	от	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-34	591-599	военного	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-35	600-609	нападения	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
5-36	610-611	"	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
