#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.EStatus|Comment|Source|Value
#T_SP=webanno.custom.EStatus2|Comment|Source|SourceAttitude|Value
#T_SP=webanno.custom.ESubject|Id
#T_SP=webanno.custom.Proposition|Polarity|Proposition
#T_SP=webanno.custom.EContext|DefaultValue|ESubject|ROLE_webanno.custom.EContext:ToEStatus_webanno.custom.EContextToEStatusLink|webanno.custom.EStatus|ROLE_webanno.custom.EContext:ToEStatus2_webanno.custom.EContextToEStatus2Link|webanno.custom.EStatus2|ROLE_webanno.custom.EContext:ToEStatus3_webanno.custom.EContextToEStatus3Link|webanno.custom.EStatus3


#Text=Сам юноша , как и его отец , категорически отрицали , что эти предметы принадлежат им
1-1	0-3	Сам	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-2	4-9	юноша	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-3	10-11	,	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-4	12-15	как	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-5	16-17	и	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-6	18-21	его	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-7	22-26	отец	_	_	_	_	_	_	_	$юноша-отец[42]	_	_	_	_	_	_	_	_	_	_	
1-8	27-28	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-9	29-42	категорически	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-10	43-51	отрицали	*	$юноша-отец($автор)	T\;-	_	_	_	_	_	*	\[юноша и отец категорически отрицали, что...\]	*	$юноша-отец		1-15	_	*	_	*	
1-11	52-53	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-12	54-57	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-13	58-61	эти	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-14	62-70	предметы	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
1-15	71-82	принадлежат	*	$юноша-отец($автор)	F\;-	_	_	_	_	_	*	\[эти предметы принадлежат им\]	_	_	_	_	_	_	_	_	
1-16	83-85	им	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=.
2-1	86-87	.	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=— А ты ?
3-1	89-90	—	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-2	91-92	А	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-3	93-95	ты	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
3-4	96-97	?	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	

#Text=— осведомился Селдон , не отрицая того , что не спал сам .
4-1	98-99	—	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-2	100-111	осведомился	*	$автор	T\;-	_	_	_	_	_	*	\[Селдон осведомился\]	_	_	_	_	_	_	_	_	
4-3	112-118	Селдон	_	_	_	_	_	_	_	$селдон	_	_	_	_	_	_	_	_	_	_	
4-4	119-120	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-5	121-123	не	*[20]	$автор[20]	T\;-[20]	_	_	_	_	_	neg[61]	\[Селдон не отрицал, что...\][61]	*[1]	$селдон[1]	[1]	4-10[21]	_[1]	*	_[1]	*	
4-6	124-131	отрицая	*[20]	$автор[20]	T\;-[20]	_	_	_	_	_	neg[61]	\[Селдон не отрицал, что...\][61]	*[1]	$селдон[1]	[1]	4-10[21]	_[1]	*	_[1]	*	
4-7	132-136	того	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-8	137-138	,	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
4-9	139-142	что	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	
